season,team_key,team_name,simulations,expected_points,average_position,champion_probability,top4_probability,top6_probability,relegation_probability,champion_probability_pct,top4_probability_pct,top6_probability_pct,relegation_probability_pct
2026,flamengo,Flamengo,10000,75.9223,1.5665,0.5115,0.9976,1.0,0.0,51.15,99.76,100.0,0.0
2026,palmeiras,Palmeiras,10000,76.0255,1.5997,0.4736,0.9982,1.0,0.0,47.36,99.82,100.0,0.0
2026,athletico_paranaense,Athletico Paranaense,10000,64.8495,3.9145,0.0108,0.733,0.9554,0.0,1.08,73.3,95.54,0.0
2026,fluminense,Fluminense,10000,64.5256,4.1409,0.0032,0.685,0.9444,0.0,0.32,68.5,94.44,0.0
2026,bahia,Bahia,10000,60.3777,5.6294,0.0006,0.2635,0.7386,0.0,0.06,26.35,73.86,0.0
2026,cruzeiro,Cruzeiro,10000,59.2297,6.0222,0.0003,0.2234,0.6513,0.0,0.03,22.34,65.13,0.0
2026,atletico_mineiro,Atlético Mineiro,10000,55.2699,7.7895,0.0,0.0562,0.3137,0.0009,0.0,5.62,31.37,0.09
2026,red_bull_bragantino,Red Bull Bragantino,10000,51.8311,9.6289,0.0,0.0148,0.1112,0.0078,0.0,1.48,11.12,0.78
2026,coritiba,Coritiba SAF,10000,51.4616,10.0878,0.0,0.0083,0.0706,0.0076,0.0,0.83,7.06,0.76
2026,botafogo,Botafogo,10000,51.2064,10.1899,0.0,0.0105,0.0989,0.0196,0.0,1.05,9.89,1.96
2026,sao_paulo,São Paulo,10000,50.4292,10.5333,0.0,0.0067,0.0624,0.0181,0.0,0.67,6.24,1.81
2026,corinthians,Corinthians,10000,49.1469,11.5697,0.0,0.0024,0.0312,0.041,0.0,0.24,3.12,4.1
2026,santos,Santos FC,10000,45.5983,13.7632,0.0,0.0001,0.0089,0.1798,0.0,0.01,0.89,17.98
2026,vitoria,Vitória,10000,45.586,13.6236,0.0,0.0001,0.0054,0.1555,0.0,0.01,0.54,15.55
2026,gremio,Grêmio,10000,45.369,13.8831,0.0,0.0002,0.0062,0.1928,0.0,0.02,0.62,19.28
2026,mirassol,Mirassol,10000,43.7473,14.818,0.0,0.0,0.0017,0.2806,0.0,0.0,0.17,28.06
2026,internacional,Internacional,10000,41.0585,16.3859,0.0,0.0,0.0001,0.5619,0.0,0.0,0.01,56.19
2026,vasco_da_gama,Vasco da Gama Saf,10000,39.0355,17.2038,0.0,0.0,0.0,0.7188,0.0,0.0,0.0,71.88
2026,remo,Remo,10000,37.7568,17.7111,0.0,0.0,0.0,0.8161,0.0,0.0,0.0,81.61
2026,chapecoense,Chapecoense,10000,26.2345,19.939,0.0,0.0,0.0,0.9995,0.0,0.0,0.0,99.95
