season,round,match_id,match_number,group,date,time,home_team_id,home_team,home_goals,away_team_id,away_team,away_goals,venue,city,state,championship
2026,1,831889,1,GRUPO ÚNICO,2026-01-28,19:30,20014,Fluminense,2.0,20013,Grêmio,1.0,Maracanã,Rio de Janeiro,RJ,Campeonato Brasileiro
2026,1,831890,2,GRUPO ÚNICO,2026-01-29,21:30,60175,Botafogo,4.0,59849,Cruzeiro,0.0,Nilton Santos,Rio de Janeiro,RJ,Campeonato Brasileiro
2026,1,831891,3,GRUPO ÚNICO,2026-01-28,21:30,20005,São Paulo,2.0,20016,Flamengo,1.0,Morumbi,Sao Paulo,SP,Campeonato Brasileiro
2026,1,831892,4,GRUPO ÚNICO,2026-01-28,20:00,20001,Corinthians,1.0,61377,Bahia,2.0,Vila Belmiro,Santos,SP,Campeonato Brasileiro
2026,1,831893,5,GRUPO ÚNICO,2026-01-29,20:00,20385,Mirassol,2.0,60646,Vasco da Gama Saf,1.0,José Maria de Campos Maia,Mirassol,SP,Campeonato Brasileiro
2026,1,831894,6,GRUPO ÚNICO,2026-01-28,19:00,62194,Atlético Mineiro,2.0,20002,Palmeiras,2.0,ARENA MRV,Belo Horizonte,MG,Campeonato Brasileiro
2026,1,831895,7,GRUPO ÚNICO,2026-01-28,19:00,20011,Internacional,0.0,20052,Athletico Paranaense,1.0,Beira-Rio,Porto Alegre,RS,Campeonato Brasileiro
2026,1,831896,8,GRUPO ÚNICO,2026-01-28,19:00,61590,Coritiba SAF,0.0,20007,Red Bull Bragantino,1.0,Couto Pereira,Curitiba,PR,Campeonato Brasileiro
2026,1,831897,9,GRUPO ÚNICO,2026-01-28,19:00,20018,Vitória,2.0,20022,Remo,0.0,Manoel Barradas,Salvador,BA,Campeonato Brasileiro
2026,1,831898,10,GRUPO ÚNICO,2026-01-28,20:00,20086,Chapecoense,4.0,20008,Santos FC,2.0,Arena Condá,Chapeco,SC,Campeonato Brasileiro
2026,2,831899,11,GRUPO ÚNICO,2026-02-04,19:00,20016,Flamengo,1.0,20011,Internacional,1.0,Maracanã,Rio de Janeiro,RJ,Campeonato Brasileiro
2026,2,831900,12,GRUPO ÚNICO,2026-02-05,20:00,60646,Vasco da Gama Saf,1.0,20086,Chapecoense,1.0,São Januário,Rio de Janeiro,RJ,Campeonato Brasileiro
2026,2,831901,13,GRUPO ÚNICO,2026-02-04,20:00,20008,Santos FC,1.0,20005,São Paulo,1.0,Vila Belmiro,Santos,SP,Campeonato Brasileiro
2026,2,831902,14,GRUPO ÚNICO,2026-02-04,21:30,20002,Palmeiras,5.0,20018,Vitória,1.0,Arena Barueri,Barueri,SP,Campeonato Brasileiro
2026,2,831903,15,GRUPO ÚNICO,2026-02-04,19:00,20007,Red Bull Bragantino,1.0,62194,Atlético Mineiro,0.0,Cícero de Souza Marques,Braganca Paulista,SP,Campeonato Brasileiro
2026,2,831904,16,GRUPO ÚNICO,2026-02-05,21:30,59849,Cruzeiro,1.0,61590,Coritiba SAF,2.0,Mineirão,Belo Horizonte,MG,Campeonato Brasileiro
2026,2,831905,17,GRUPO ÚNICO,2026-02-04,21:30,20013,Grêmio,5.0,60175,Botafogo,3.0,Arena do Grêmio,Porto Alegre,RS,Campeonato Brasileiro
2026,2,831906,18,GRUPO ÚNICO,2026-02-19,19:30,20052,Athletico Paranaense,0.0,20001,Corinthians,1.0,Arena da Baixada,Curitiba,PR,Campeonato Brasileiro
2026,2,831907,19,GRUPO ÚNICO,2026-02-05,19:00,61377,Bahia,1.0,20014,Fluminense,1.0,Arena Fonte Nova,Salvador,BA,Campeonato Brasileiro
2026,2,831908,20,GRUPO ÚNICO,2026-02-04,20:00,20022,Remo,2.0,20385,Mirassol,2.0,Mangueirão,Belem,PA,Campeonato Brasileiro
2026,3,831909,21,GRUPO ÚNICO,2026-02-12,19:30,20014,Fluminense,1.0,60175,Botafogo,0.0,Maracanã,Rio de Janeiro,RJ,Campeonato Brasileiro
2026,3,831910,22,GRUPO ÚNICO,2026-02-11,21:30,60646,Vasco da Gama Saf,0.0,61377,Bahia,1.0,São Januário,Rio de Janeiro,RJ,Campeonato Brasileiro
2026,3,831911,23,GRUPO ÚNICO,2026-02-11,21:30,20005,São Paulo,2.0,20013,Grêmio,0.0,Morumbi,Sao Paulo,SP,Campeonato Brasileiro
2026,3,831912,24,GRUPO ÚNICO,2026-02-12,20:00,20001,Corinthians,2.0,20007,Red Bull Bragantino,0.0,Neo Química Arena,Sao Paulo,SP,Campeonato Brasileiro
2026,3,831913,25,GRUPO ÚNICO,2026-02-11,19:00,20385,Mirassol,2.0,59849,Cruzeiro,2.0,José Maria de Campos Maia,Mirassol,SP,Campeonato Brasileiro
2026,3,831914,26,GRUPO ÚNICO,2026-02-11,20:00,62194,Atlético Mineiro,3.0,20022,Remo,3.0,ARENA MRV,Belo Horizonte,MG,Campeonato Brasileiro
2026,3,831915,27,GRUPO ÚNICO,2026-02-12,21:30,20011,Internacional,1.0,20002,Palmeiras,3.0,Beira-Rio,Porto Alegre,RS,Campeonato Brasileiro
2026,3,831916,28,GRUPO ÚNICO,2026-02-12,19:00,20052,Athletico Paranaense,2.0,20008,Santos FC,1.0,Arena da Baixada,Curitiba,PR,Campeonato Brasileiro
2026,3,831917,29,GRUPO ÚNICO,2026-02-10,21:30,20018,Vitória,1.0,20016,Flamengo,2.0,Manoel Barradas,Salvador,BA,Campeonato Brasileiro
2026,3,831918,30,GRUPO ÚNICO,2026-02-11,19:00,20086,Chapecoense,3.0,61590,Coritiba SAF,3.0,Arena Condá,Chapeco,SC,Campeonato Brasileiro
2026,4,831919,31,GRUPO ÚNICO,2026-09-02,19:30,20016,Flamengo,,20385,Mirassol,,Maracanã,Rio de Janeiro,RJ,Campeonato Brasileiro
